id,D1_1,D1_2,D1_3,D1_4,D2_1,D2_2,D2_3,D2_4,D3_1,D3_2,D3_3,D3_4,D4_1,D4_2,D4_3,D4_4,D5_1,D5_2,D5_3,D5_4,CLASS
1,73,20,171,6,51,16,244,8,77,6,22,10,45,3,94,13,95,18,83,19,D3
2,90,7,75,19,5,20,196,24,97,26,98,23,51,7,284,4,84,28,101,12,D4
3,7,13,186,23,14,27,222,24,87,17,253,12,80,7,177,26,23,2,19,27,D3
4,52,15,286,20,94,10,131,9,96,2,116,28,68,22,190,8,76,7,289,15,D2
5,78,18,226,1,14,27,80,11,100,10,206,0,87,27,35,29,99,2,15,21,D3
6,33,17,78,6,44,3,113,27,50,21,198,21,89,28,100,10,14,5,53,0,D4
7,3,26,177,15,27,17,256,10,6,3,161,1,87,3,58,1,73,23,179,29,D4
8,37,23,57,18,43,5,209,28,96,21,285,13,79,1,217,29,98,27,62,15,D3
9,100,21,22,19,25,29,164,1,48,3,273,3,36,7,122,20,80,15,50,17,D3
10,34,4,205,8,65,3,274,17,26,12,93,4,54,14,197,23,38,7,152,-5,D2
11,70,14,220,18,3,29,149,18,93,12,106,24,99,23,210,1,10,6,282,7,D4
12,25,26,129,20,3,29,230,8,28,22,38,9,62,26,183,9,84,14,114,6,D5
13,43,7,225,21,95,23,82,8,29,14,52,9,68,12,135,15,62,12,159,25,D2
14,23,14,279,17,90,11,211,6,38,24,191,27,44,8,194,2,37,11,86,28,D2
15,88,24,145,12,87,6,109,23,27,20,231,26,9,5,77,23,66,7,166,13,D5
16,46,19,289,14,90,17,96,2,77,28,260,28,84,15,42,21,80,26,7,22,D2
17,19,25,30,23,10,4,223,25,13,4,234,4,11,11,95,-5,58,8,248,9,D5
18,79,27,49,0,3,26,132,4,59,17,210,23,60,20,268,-5,78,25,160,13,D4
19,43,23,155,27,82,1,55,-5,52,19,260,25,44,9,251,10,3,22,241,10,D2
20,57,0,38,9,14,28,57,28,6,21,70,16,81,0,15,2,87,27,46,17,D4
21,54,8,272,23,88,0,89,7,14,10,209,29,48,19,282,10,48,22,157,10,D2
